NHI,preferredName,dateOfBirth,eMail,phone,preferredContactMethod
EKR1928,Naomi  ,1956-07-02,EKR1928@havemydata.nz,7391934,phone
EKV1932,Lilla  ,1975-02-10,EKV1932@havemydata.nz,7521938,text
EKT1936,Tammara  ,1968-02-04,EKT1936@havemydata.nz,8881942,text
EKE1940,Naomi  ,1926-09-09,EKE1940@havemydata.nz,6671946,text
EKL1944,Carol  ,1933-06-03,EKL1944@havemydata.nz,7771950,phone
EKK1948,Dorethea  ,1917-07-05,EKK1948@havemydata.nz,8431954,text
EKV1952,Carol  ,1970-11-19,EKV1952@havemydata.nz,6571958,text
EKJ1956,Sondra  ,1987-07-12,EKJ1956@havemydata.nz,7421962,text
EKS1960,Delorse  ,1979-03-12,EKS1960@havemydata.nz,7721966,phone
ELZ1964,Delorse  ,1920-04-17,ELZ1964@havemydata.nz,6661970,text
ELO1968,Man  ,1983-06-22,ELO1968@havemydata.nz,8191974,text
ELJ1972,Josephina  ,1961-10-02,ELJ1972@havemydata.nz,7621978,phone
ELB1976,Fredda  ,1922-12-12,ELB1976@havemydata.nz,7861982,phone
ELI1980,Fredda  ,1964-10-11,ELI1980@havemydata.nz,6951986,phone
ELB1984,Glennie  ,1963-11-09,ELB1984@havemydata.nz,7591990,phone
ELI1988,Tyron  ,1936-07-18,ELI1988@havemydata.nz,9061994,text
ELD1992,Zita  ,1921-01-27,ELD1992@havemydata.nz,8791998,phone
ELJ1996,Tammara  ,1938-01-12,ELJ1996@havemydata.nz,6512002,text
ELG2000,Salome  ,1930-09-22,ELG2000@havemydata.nz,7042006,text
ELL2004,Helen  ,1918-02-04,ELL2004@havemydata.nz,7152010,text
ELA2008,Larraine  ,1980-08-25,ELA2008@havemydata.nz,6912014,text
ELF2012,Brock  ,1939-04-16,ELF2012@havemydata.nz,8052018,text
ELG2016,Mae  ,1923-03-12,ELG2016@havemydata.nz,6722022,email
ELX2020,Bea  ,1917-10-25,ELX2020@havemydata.nz,8242026,text
ELM2024,Yelena  ,1958-06-26,ELM2024@havemydata.nz,8682030,phone
ELR2028,Josephina  ,1968-08-29,ELR2028@havemydata.nz,7352034,phone
ELK2032,Angila  ,1911-03-12,ELK2032@havemydata.nz,7712038,text
ELG2036,Brigid  ,1916-10-06,ELG2036@havemydata.nz,7682042,text
ELQ2040,Sondra  ,1939-08-09,ELQ2040@havemydata.nz,8462046,text
ELZ2044,Bea  ,1935-03-15,ELZ2044@havemydata.nz,8432050,email
ELF2048,Shan  ,1966-03-25,ELF2048@havemydata.nz,8112054,text
ELV2052,Jan  ,1948-11-27,ELV2052@havemydata.nz,8072058,phone
ELR2056,Maxwell  ,1967-12-30,ELR2056@havemydata.nz,7972062,phone
ELI2060,Todd  ,1977-04-15,ELI2060@havemydata.nz,8692066,phone
ELX2064,Todd  ,1920-08-25,ELX2064@havemydata.nz,6722070,email
EMB2068,Shanell  ,1979-04-07,EMB2068@havemydata.nz,7612074,text
EMV2072,Andera  ,1950-11-23,EMV2072@havemydata.nz,6852078,text
EMF2076,Jesica  ,1980-12-30,EMF2076@havemydata.nz,7952082,phone
EMQ2080,Venetta  ,1921-10-11,EMQ2080@havemydata.nz,7842086,text
EMW2084,Naomi  ,1960-05-28,EMW2084@havemydata.nz,7542090,phone
EMS2088,Ivana  ,1953-09-18,EMS2088@havemydata.nz,7162094,phone
EMN2092,Leora  ,1952-03-12,EMN2092@havemydata.nz,8482098,phone
EMS2096,Max  ,1971-11-09,EMS2096@havemydata.nz,8462102,phone
EMX2100,Ivana  ,1913-07-24,EMX2100@havemydata.nz,7332106,text
EMB2104,Man  ,1973-07-17,EMB2104@havemydata.nz,8592110,phone
EMY2108,Emogene  ,1983-01-30,EMY2108@havemydata.nz,8142114,phone
EMK2112,Gena  ,1957-06-29,EMK2112@havemydata.nz,8312118,text
EMP2116,Era  ,1936-07-16,EMP2116@havemydata.nz,8082122,text
EMA2120,Helen  ,1960-01-19,EMA2120@havemydata.nz,7822126,phone
EMG2124,Naomi  ,1922-09-23,EMG2124@havemydata.nz,6742130,text
EMH2128,Larraine  ,1969-01-02,EMH2128@havemydata.nz,6842134,text
EMA2132,Dorethea  ,1953-06-29,EMA2132@havemydata.nz,7142138,text
EMZ2136,Brock  ,1952-04-25,EMZ2136@havemydata.nz,7012142,phone
EME2140,Josephina  ,1982-02-09,EME2140@havemydata.nz,8692146,text
EMB2144,Josephina  ,1940-05-16,EMB2144@havemydata.nz,7892150,text
EMK2148,Brock  ,1955-08-21,EMK2148@havemydata.nz,7952154,phone
EMC2152,Tammara  ,1931-12-26,EMC2152@havemydata.nz,6772158,text
EMS2156,Ivana  ,1935-07-01,EMS2156@havemydata.nz,8822162,phone
EMJ2160,Max  ,1914-05-30,EMJ2160@havemydata.nz,6742166,phone
EMU2164,Brock  ,1957-09-09,EMU2164@havemydata.nz,6542170,phone
EMU2168,Max  ,1940-11-19,EMU2168@havemydata.nz,8112174,phone
ENQ2172,Kenya  ,1973-08-18,ENQ2172@havemydata.nz,8132178,phone
ENB2176,Kenna  ,1972-06-11,ENB2176@havemydata.nz,8172182,phone
ENS2180,Carter  ,1972-05-29,ENS2180@havemydata.nz,7212186,phone
ENZ2184,Era  ,1945-06-02,ENZ2184@havemydata.nz,7442190,phone
ENK2188,Mae  ,1958-06-08,ENK2188@havemydata.nz,7222194,phone
ENK2192,Ivana  ,1920-01-12,ENK2192@havemydata.nz,7692198,phone
ENN2196,Andera  ,1933-06-26,ENN2196@havemydata.nz,8132202,phone
ENI2200,Josephina  ,1968-12-05,ENI2200@havemydata.nz,8062206,phone
ENC2204,Jan  ,1914-10-02,ENC2204@havemydata.nz,7932210,text
ENP2208,Nakisha  ,1942-07-03,ENP2208@havemydata.nz,7692214,text
ENO2212,Brigid  ,1975-04-21,ENO2212@havemydata.nz,8982218,text
ENE2216,Venetta  ,1940-09-04,ENE2216@havemydata.nz,8972222,text
ENR2220,Delorse  ,1922-01-05,ENR2220@havemydata.nz,8522226,text
ENJ2224,Ivana  ,1974-10-01,ENJ2224@havemydata.nz,8792230,phone
ENN2228,Susann  ,1962-02-13,ENN2228@havemydata.nz,6762234,text
ENQ2232,Leora  ,1937-06-13,ENQ2232@havemydata.nz,8012238,text
ENR2236,Delorse  ,1928-04-14,ENR2236@havemydata.nz,8892242,text
ENT2240,Fredda  ,1944-02-13,ENT2240@havemydata.nz,7212246,phone
ENL2244,Judi  ,1923-11-11,ENL2244@havemydata.nz,7032250,text
ENY2248,Zita  ,1949-08-02,ENY2248@havemydata.nz,7762254,phone
ENZ2252,Clora  ,1913-06-30,ENZ2252@havemydata.nz,8072258,text
ENL2256,Brock  ,1978-01-03,ENL2256@havemydata.nz,6862262,text
ENU2260,Leora  ,1951-02-26,ENU2260@havemydata.nz,7762266,phone
ENO2264,Zita  ,1934-02-23,ENO2264@havemydata.nz,8142270,phone
ENR2268,Judi  ,1921-04-01,ENR2268@havemydata.nz,8892274,email
ENN2272,Daisey  ,1922-02-13,ENN2272@havemydata.nz,7712278,text
EOU2276,Marietta  ,1946-05-20,EOU2276@havemydata.nz,6752282,phone
EOB2280,Andera  ,1986-08-10,EOB2280@havemydata.nz,8492286,phone
EOX2284,Elma  ,1935-03-09,EOX2284@havemydata.nz,6952290,phone
EOL2288,Angila  ,1915-08-14,EOL2288@havemydata.nz,7352294,text
EOL2292,Lilla  ,1970-03-09,EOL2292@havemydata.nz,8932298,phone
EOC2296,Brock  ,1942-01-08,EOC2296@havemydata.nz,8012302,phone
EOJ2300,Daisey  ,1965-08-18,EOJ2300@havemydata.nz,6552306,text
EOM2304,Marietta  ,1926-07-06,EOM2304@havemydata.nz,8322310,phone
EOI2308,Naomi  ,1932-08-16,EOI2308@havemydata.nz,8052314,text
EOP2312,Judi  ,1931-02-17,EOP2312@havemydata.nz,8532318,email
EOI2316,Lilla  ,1981-09-11,EOI2316@havemydata.nz,8852322,phone
EOA2320,Tyron  ,1935-06-28,EOA2320@havemydata.nz,6912326,phone
EOE2324,Latosha  ,1979-11-27,EOE2324@havemydata.nz,8952330,phone
EOA2328,Man  ,1953-07-18,EOA2328@havemydata.nz,7822334,email
EOA2332,Fredda  ,1979-03-02,EOA2332@havemydata.nz,7462338,phone
EOQ2336,Judi  ,1937-10-02,EOQ2336@havemydata.nz,6892342,text
EOK2340,Shan  ,1953-12-08,EOK2340@havemydata.nz,8242346,text
EOH2344,Zita  ,1949-10-28,EOH2344@havemydata.nz,8882350,text
EOB2348,Andera  ,1911-11-30,EOB2348@havemydata.nz,7692354,text
EOU2352,Glennie  ,1968-10-20,EOU2352@havemydata.nz,6762358,phone
EOO2356,Elma  ,1979-04-24,EOO2356@havemydata.nz,8432362,phone
EOF2360,Susann  ,1972-02-25,EOF2360@havemydata.nz,8162366,phone
EOL2364,Clora  ,1940-12-14,EOL2364@havemydata.nz,7492370,text
EOR2368,Carter  ,1946-05-30,EOR2368@havemydata.nz,8252374,text
EOE2372,Helen  ,1971-04-03,EOE2372@havemydata.nz,8762378,phone
EOW2376,Judi  ,1941-11-20,EOW2376@havemydata.nz,8522382,phone
EPN2380,Cherie  ,1912-09-29,EPN2380@havemydata.nz,8962386,text
EPL2384,Fredda  ,1935-04-24,EPL2384@havemydata.nz,8242390,phone
EPU2388,Cherie  ,1929-12-19,EPU2388@havemydata.nz,7812394,phone
EPZ2392,Sondra  ,1973-01-17,EPZ2392@havemydata.nz,6592398,phone
EPV2396,Man  ,1962-09-26,EPV2396@havemydata.nz,7552402,phone
EPV2400,Latosha  ,1958-11-16,EPV2400@havemydata.nz,7412406,text
EPN2404,Larraine  ,1946-06-13,EPN2404@havemydata.nz,7152410,text
EPO2408,Angila  ,1979-04-11,EPO2408@havemydata.nz,7182414,text
EPH2412,Angila  ,1936-12-15,EPH2412@havemydata.nz,8882418,phone
EPM2416,Todd  ,1980-05-17,EPM2416@havemydata.nz,9052422,phone
EPK2420,Fredda  ,1920-02-15,EPK2420@havemydata.nz,8082426,text
EPF2424,Lilla  ,1968-11-22,EPF2424@havemydata.nz,7362430,text
EPL2428,Daisey  ,1913-07-03,EPL2428@havemydata.nz,7022434,text
EPA2432,Brigid  ,1941-10-19,EPA2432@havemydata.nz,7812438,text
EPY2436,Max  ,1970-05-02,EPY2436@havemydata.nz,8492442,text
EPM2440,Era  ,1962-04-06,EPM2440@havemydata.nz,7932446,text
EPP2444,Todd  ,1944-07-31,EPP2444@havemydata.nz,6682450,text
EPM2448,Max  ,1959-11-02,EPM2448@havemydata.nz,8382454,text
EPY2452,Gena  ,1955-11-01,EPY2452@havemydata.nz,7272458,email
EPX2456,Daisey  ,1963-09-15,EPX2456@havemydata.nz,9022462,text
EPG2460,Man  ,1921-06-21,EPG2460@havemydata.nz,8272466,phone
EPE2464,Salome  ,1976-06-05,EPE2464@havemydata.nz,7692470,text
EPP2468,Naomi  ,1950-12-02,EPP2468@havemydata.nz,8142474,text
EPD2472,Josephina  ,1967-07-05,EPD2472@havemydata.nz,8922478,text
EPS2476,Yelena  ,1949-10-10,EPS2476@havemydata.nz,8212482,text
EPU2480,Clora  ,1965-07-29,EPU2480@havemydata.nz,8792486,email
EQD2484,Shanell  ,1958-10-23,EQD2484@havemydata.nz,8312490,phone
EQH2488,Marietta  ,1937-05-28,EQH2488@havemydata.nz,9042494,phone
EQT2492,Emogene  ,1980-05-16,EQT2492@havemydata.nz,8022498,text
EQA2496,Jan  ,1962-10-15,EQA2496@havemydata.nz,6882502,text
EQO2500,Venetta  ,1985-11-14,EQO2500@havemydata.nz,7772506,phone
EQP2504,Dorethea  ,1913-06-21,EQP2504@havemydata.nz,8732510,text
EQI2508,Brigid  ,1956-06-07,EQI2508@havemydata.nz,7452514,text
EQF2512,Naomi  ,1978-12-13,EQF2512@havemydata.nz,8822518,phone
EQB2516,Delorse  ,1985-07-07,EQB2516@havemydata.nz,6922522,phone
EQD2520,Emogene  ,1987-02-06,EQD2520@havemydata.nz,7492526,text
EQQ2524,Dorethea  ,1943-10-21,EQQ2524@havemydata.nz,8472530,text
EQY2528,Nakisha  ,1921-11-02,EQY2528@havemydata.nz,6852534,text
EQY2532,Andera  ,1954-01-13,EQY2532@havemydata.nz,9072538,phone
EQP2536,Zita  ,1970-01-07,EQP2536@havemydata.nz,7962542,text
EQQ2540,Marietta  ,1932-07-04,EQQ2540@havemydata.nz,9072546,text
EQI2544,Marietta  ,1968-02-07,EQI2544@havemydata.nz,8032550,phone
EQJ2548,Brigid  ,1939-03-19,EQJ2548@havemydata.nz,6572554,text
EQB2552,Shanell  ,1973-02-17,EQB2552@havemydata.nz,8192558,phone
EQD2556,Salome  ,1957-11-07,EQD2556@havemydata.nz,6522562,text
EQA2560,Judi  ,1941-05-18,EQA2560@havemydata.nz,7732566,phone
EQA2564,Leora  ,1973-11-20,EQA2564@havemydata.nz,8752570,text
EQP2568,Emogene  ,1967-02-17,EQP2568@havemydata.nz,8012574,phone
EQX2572,Brock  ,1947-02-03,EQX2572@havemydata.nz,7232578,email
EQS2576,Max  ,1974-08-08,EQS2576@havemydata.nz,7972582,text
EQC2580,Emogene  ,1938-02-25,EQC2580@havemydata.nz,7672586,text
EQA2584,Elma  ,1927-01-04,EQA2584@havemydata.nz,7832590,phone
ERG2588,Larraine  ,1922-04-17,ERG2588@havemydata.nz,6972594,text
ERB2592,Venetta  ,1931-08-17,ERB2592@havemydata.nz,8722598,phone
ERX2596,Helen  ,1918-01-27,ERX2596@havemydata.nz,7342602,phone
ERM2600,Fredda  ,1943-08-13,ERM2600@havemydata.nz,8462606,phone
ERG2604,Brigid  ,1941-01-12,ERG2604@havemydata.nz,8542610,text
ERP2608,Brigid  ,1958-07-27,ERP2608@havemydata.nz,7992614,email
ERK2612,Jan  ,1947-03-07,ERK2612@havemydata.nz,6612618,text
ERG2616,Maxwell  ,1980-04-17,ERG2616@havemydata.nz,8362622,text
ERR2620,Jan  ,1961-01-11,ERR2620@havemydata.nz,6722626,text
ERO2624,Man  ,1987-11-23,ERO2624@havemydata.nz,7522630,phone
ERO2628,Venetta  ,1948-08-25,ERO2628@havemydata.nz,8372634,text
ERI2632,Santa  ,1945-04-03,ERI2632@havemydata.nz,8042638,phone
ERN2636,Leora  ,1972-02-25,ERN2636@havemydata.nz,7272642,text
ERY2640,Emogene  ,1932-01-22,ERY2640@havemydata.nz,6722646,phone
ERL2644,Era  ,1968-03-05,ERL2644@havemydata.nz,7472650,email
ERK2648,Susann  ,1961-05-20,ERK2648@havemydata.nz,8732654,phone
ERF2652,Kenya  ,1953-12-15,ERF2652@havemydata.nz,7952658,text
ERJ2656,Angila  ,1957-10-03,ERJ2656@havemydata.nz,6782662,phone
ERK2660,Andera  ,1987-09-28,ERK2660@havemydata.nz,8662666,phone
ERM2664,Fredda  ,1922-05-26,ERM2664@havemydata.nz,8882670,email
ERV2668,Gena  ,1935-04-28,ERV2668@havemydata.nz,7362674,text
ERA2672,Nakisha  ,1929-07-27,ERA2672@havemydata.nz,6552678,text
ERR2676,Glennie  ,1914-11-01,ERR2676@havemydata.nz,8042682,text
ERY2680,Cherie  ,1935-08-07,ERY2680@havemydata.nz,6892686,phone
ERY2684,Shan  ,1929-11-03,ERY2684@havemydata.nz,9012690,text
ERF2688,Josephina  ,1963-05-26,ERF2688@havemydata.nz,6722694,text
ESO2692,Jan  ,1977-08-28,ESO2692@havemydata.nz,8382698,text
ESO2696,Todd  ,1965-09-12,ESO2696@havemydata.nz,8812702,text
ESA2700,Carol  ,1949-06-16,ESA2700@havemydata.nz,9072706,phone
ESC2704,Maxwell  ,1915-05-05,ESC2704@havemydata.nz,8712710,phone
ESB2708,Jan  ,1961-06-14,ESB2708@havemydata.nz,8832714,text
ESI2712,Maxwell  ,1911-05-24,ESI2712@havemydata.nz,8882718,text
ESB2716,Era  ,1984-10-24,ESB2716@havemydata.nz,7032722,text
ESG2720,Carol  ,1944-01-20,ESG2720@havemydata.nz,8342726,text
ESG2724,Dorethea  ,1950-01-31,ESG2724@havemydata.nz,8212730,phone
ESW2728,Jan  ,1953-09-22,ESW2728@havemydata.nz,8142734,phone
ESX2732,Era  ,1986-01-31,ESX2732@havemydata.nz,6982738,text
ESZ2736,Helen  ,1958-01-14,ESZ2736@havemydata.nz,7792742,text
ESI2740,Susann  ,1965-03-05,ESI2740@havemydata.nz,7212746,phone
ESW2744,Angila  ,1932-02-11,ESW2744@havemydata.nz,7242750,text
ESU2748,Delorse  ,1947-03-17,ESU2748@havemydata.nz,7472754,text
ESV2752,Santa  ,1985-11-01,ESV2752@havemydata.nz,7022758,phone
ESY2756,Larraine  ,1927-11-23,ESY2756@havemydata.nz,8432762,phone
ESG2760,Glennie  ,1953-10-03,ESG2760@havemydata.nz,8312766,text
ESC2764,Todd  ,1927-10-20,ESC2764@havemydata.nz,6782770,phone
ESC2768,Marietta  ,1959-01-07,ESC2768@havemydata.nz,8672774,text
ESL2772,Mae  ,1934-05-06,ESL2772@havemydata.nz,8792778,phone
ESU2776,Nakisha  ,1913-01-29,ESU2776@havemydata.nz,7552782,email
ESF2780,Angila  ,1955-11-13,ESF2780@havemydata.nz,8972786,phone
ESY2784,Gena  ,1924-07-13,ESY2784@havemydata.nz,8222790,phone
ESQ2788,Lilla  ,1940-10-01,ESQ2788@havemydata.nz,8732794,phone
ESS2792,Cherie  ,1932-09-27,ESS2792@havemydata.nz,8732798,text
ETA2796,Nakisha  ,1947-12-24,ETA2796@havemydata.nz,7252802,phone
ETZ2800,Shan  ,1947-03-06,ETZ2800@havemydata.nz,6672806,phone
ETW2804,Santa  ,1977-11-16,ETW2804@havemydata.nz,6832810,phone
ETD2808,Cherie  ,1956-07-16,ETD2808@havemydata.nz,6772814,phone
ETN2812,Sondra  ,1982-12-14,ETN2812@havemydata.nz,8932818,phone
ETZ2816,Maxwell  ,1964-08-05,ETZ2816@havemydata.nz,8832822,phone
ETE2820,Kenna  ,1946-02-24,ETE2820@havemydata.nz,8652826,phone
ETZ2824,Kenya  ,1972-01-11,ETZ2824@havemydata.nz,8032830,text
ETE2828,Marietta  ,1918-02-25,ETE2828@havemydata.nz,7812834,text
ETA2832,Maxwell  ,1960-07-05,ETA2832@havemydata.nz,8212838,text
ETH2836,Shan  ,1911-02-13,ETH2836@havemydata.nz,7212842,phone
ETL2840,Clora  ,1948-05-21,ETL2840@havemydata.nz,6782846,text
ETZ2844,Jesica  ,1969-06-03,ETZ2844@havemydata.nz,6572850,phone
ETG2848,Jesica  ,1913-12-09,ETG2848@havemydata.nz,7332854,text
ETA2852,Jesica  ,1983-01-10,ETA2852@havemydata.nz,6722858,phone
ETV2856,Andera  ,1927-01-22,ETV2856@havemydata.nz,7352862,text
ETM2860,Gena  ,1947-02-01,ETM2860@havemydata.nz,7572866,phone
ETS2864,Kenna  ,1951-08-11,ETS2864@havemydata.nz,8542870,text
ETU2868,Gena  ,1968-05-20,ETU2868@havemydata.nz,8072874,text
ETG2872,Naomi  ,1935-05-31,ETG2872@havemydata.nz,6552878,text
ETP2876,Brigid  ,1927-01-31,ETP2876@havemydata.nz,7622882,text
ETD2880,Sondra  ,1912-11-22,ETD2880@havemydata.nz,8142886,phone
ETS2884,Brigid  ,1945-04-21,ETS2884@havemydata.nz,7262890,text
ETM2888,Max  ,1978-09-01,ETM2888@havemydata.nz,8722894,phone
ETJ2892,Jan  ,1926-04-01,ETJ2892@havemydata.nz,6722898,text
ETP2896,Maxwell  ,1912-08-12,ETP2896@havemydata.nz,8332902,phone
EUN2900,Fredda  ,1911-02-11,EUN2900@havemydata.nz,9042906,text
EUE2904,Carol  ,1983-03-04,EUE2904@havemydata.nz,8882910,text
EUK2908,Clora  ,1930-08-22,EUK2908@havemydata.nz,8672914,phone
EUA2912,Salome  ,1923-09-25,EUA2912@havemydata.nz,7772918,text
EUJ2916,Tammara  ,1911-03-27,EUJ2916@havemydata.nz,7422922,phone
EUU2920,Leora  ,1952-06-08,EUU2920@havemydata.nz,7892926,text
EUN2924,Angila  ,1970-11-24,EUN2924@havemydata.nz,8492930,phone
EUO2928,Susann  ,1911-07-26,EUO2928@havemydata.nz,7762934,phone
EUN2932,Marietta  ,1964-01-24,EUN2932@havemydata.nz,8352938,text
EUF2936,Era  ,1918-03-13,EUF2936@havemydata.nz,8882942,phone
EUC2940,Zita  ,1922-01-22,EUC2940@havemydata.nz,7382946,text
EUA2944,Dorethea  ,1929-03-31,EUA2944@havemydata.nz,8592950,text
EUR2948,Venetta  ,1921-03-13,EUR2948@havemydata.nz,8532954,text
EUP2952,Dorethea  ,1932-10-19,EUP2952@havemydata.nz,8752958,text
EUJ2956,Tammara  ,1984-06-01,EUJ2956@havemydata.nz,7862962,text
EUV2960,Bea  ,1912-03-27,EUV2960@havemydata.nz,8892966,phone
EUJ2964,Carter  ,1952-10-15,EUJ2964@havemydata.nz,7222970,phone
EUO2968,Max  ,1958-10-27,EUO2968@havemydata.nz,8962974,text
EUU2972,Man  ,1937-02-05,EUU2972@havemydata.nz,6992978,text
EUO2976,Latosha  ,1979-07-14,EUO2976@havemydata.nz,7572982,text
EUH2980,Naomi  ,1918-06-16,EUH2980@havemydata.nz,6892986,text
EUC2984,Shan  ,1918-03-31,EUC2984@havemydata.nz,7612990,phone
EUM2988,Glennie  ,1959-08-08,EUM2988@havemydata.nz,6942994,text
EUV2992,Carol  ,1957-05-02,EUV2992@havemydata.nz,8332998,phone
EUY2996,Shanell  ,1945-10-16,EUY2996@havemydata.nz,8373002,text
EUX3000,Fredda  ,1964-12-11,EUX3000@havemydata.nz,8043006,text
EVL3004,Mae  ,1963-10-25,EVL3004@havemydata.nz,7093010,text
EVC3008,Dorethea  ,1987-09-18,EVC3008@havemydata.nz,8443014,text
EVG3012,Todd  ,1925-10-09,EVG3012@havemydata.nz,8093018,text
EVG3016,Andera  ,1960-12-13,EVG3016@havemydata.nz,6583022,text
EVV3020,Man  ,1957-04-02,EVV3020@havemydata.nz,8823026,text
EVI3024,Salome  ,1952-09-15,EVI3024@havemydata.nz,6923030,text
EVR3028,Brigid  ,1973-10-17,EVR3028@havemydata.nz,6573034,email
EVR3032,Andera  ,1968-10-18,EVR3032@havemydata.nz,8073038,phone
EVW3036,Angila  ,1979-10-10,EVW3036@havemydata.nz,8543042,text
EVH3040,Carol  ,1976-08-15,EVH3040@havemydata.nz,7373046,text
EVN3044,Mae  ,1973-11-13,EVN3044@havemydata.nz,8863050,phone
EVH3048,Kenna  ,1925-03-24,EVH3048@havemydata.nz,8393054,phone
EVQ3052,Todd  ,1914-07-08,EVQ3052@havemydata.nz,8623058,text
EVH3056,Carol  ,1987-05-10,EVH3056@havemydata.nz,6523062,text
EVP3060,Carter  ,1982-01-20,EVP3060@havemydata.nz,7093066,phone
EVQ3064,Cherie  ,1927-08-09,EVQ3064@havemydata.nz,7963070,phone
EVP3068,Leora  ,1924-07-14,EVP3068@havemydata.nz,7833074,phone
EVI3072,Daisey  ,1944-09-21,EVI3072@havemydata.nz,7053078,phone
EVA3076,Fredda  ,1953-09-19,EVA3076@havemydata.nz,6983082,text
EVF3080,Maxwell  ,1919-04-04,EVF3080@havemydata.nz,6553086,text
EVJ3084,Salome  ,1967-12-10,EVJ3084@havemydata.nz,7833090,text
EVF3088,Kenna  ,1953-08-12,EVF3088@havemydata.nz,6933094,text
EVJ3092,Larraine  ,1984-11-26,EVJ3092@havemydata.nz,8193098,text
EVV3096,Brock  ,1929-01-12,EVV3096@havemydata.nz,7453102,text
EVB3100,Mae  ,1937-12-22,EVB3100@havemydata.nz,6583106,phone
EVQ3104,Kenna  ,1944-01-27,EVQ3104@havemydata.nz,8783110,text
EWP3108,Shan  ,1981-08-10,EWP3108@havemydata.nz,8083114,text
EWD3112,Venetta  ,1939-06-20,EWD3112@havemydata.nz,7553118,text
EWW3116,Cherie  ,1920-11-06,EWW3116@havemydata.nz,6953122,text
EWB3120,Daisey  ,1924-10-20,EWB3120@havemydata.nz,7813126,text
EWE3124,Shan  ,1963-08-03,EWE3124@havemydata.nz,8493130,phone
EWM3128,Larraine  ,1976-04-09,EWM3128@havemydata.nz,6513134,email
EWS3132,Lilla  ,1974-06-28,EWS3132@havemydata.nz,8273138,phone
EWI3136,Brigid  ,1931-07-18,EWI3136@havemydata.nz,8663142,text
EWJ3140,Santa  ,1949-02-22,EWJ3140@havemydata.nz,8893146,phone
EWE3144,Daisey  ,1931-06-11,EWE3144@havemydata.nz,8013150,phone
EWU3148,Era  ,1956-04-08,EWU3148@havemydata.nz,7773154,phone
EWL3152,Susann  ,1982-02-10,EWL3152@havemydata.nz,7153158,email
EWA3156,Larraine  ,1934-11-12,EWA3156@havemydata.nz,7733162,phone
EWW3160,Kenna  ,1936-06-17,EWW3160@havemydata.nz,6933166,phone
EWW3164,Gena  ,1924-07-27,EWW3164@havemydata.nz,8073170,phone
EWD3168,Tyron  ,1973-09-03,EWD3168@havemydata.nz,6623174,phone
EWV3172,Helen  ,1968-12-30,EWV3172@havemydata.nz,9053178,phone
EWT3176,Glennie  ,1945-03-31,EWT3176@havemydata.nz,6823182,phone
EWG3180,Judi  ,1979-06-18,EWG3180@havemydata.nz,6783186,text
EWL3184,Yelena  ,1982-09-07,EWL3184@havemydata.nz,6993190,text
EWU3188,Marietta  ,1982-09-15,EWU3188@havemydata.nz,7873194,phone
EWO3192,Emogene  ,1921-12-07,EWO3192@havemydata.nz,7223198,phone
EWT3196,Todd  ,1918-03-18,EWT3196@havemydata.nz,6773202,text
EWY3200,Zita  ,1969-08-28,EWY3200@havemydata.nz,8553206,text
EWM3204,Elma  ,1931-02-22,EWM3204@havemydata.nz,8953210,text
EWA3208,Kenya  ,1940-12-09,EWA3208@havemydata.nz,8773214,text
EXF3212,Kenya  ,1932-10-16,EXF3212@havemydata.nz,8033218,phone
EXO3216,Jesica  ,1945-07-18,EXO3216@havemydata.nz,7393222,text
EXI3220,Angila  ,1982-12-25,EXI3220@havemydata.nz,6943226,phone
EXE3224,Brigid  ,1922-01-15,EXE3224@havemydata.nz,8413230,phone
EXC3228,Jan  ,1948-12-08,EXC3228@havemydata.nz,8543234,phone
EXK3232,Brock  ,1960-04-18,EXK3232@havemydata.nz,8163238,text
EXX3236,Dorethea  ,1958-02-02,EXX3236@havemydata.nz,7893242,phone
EXV3240,Salome  ,1932-01-10,EXV3240@havemydata.nz,6963246,text
EXR3244,Zita  ,1917-05-05,EXR3244@havemydata.nz,9073250,text
EXV3248,Brigid  ,1943-09-02,EXV3248@havemydata.nz,7353254,phone
EXP3252,Brock  ,1980-05-26,EXP3252@havemydata.nz,7663258,phone
EXD3256,Naomi  ,1968-03-08,EXD3256@havemydata.nz,7753262,phone
EXA3260,Era  ,1922-08-05,EXA3260@havemydata.nz,6693266,phone
EXE3264,Naomi  ,1969-03-08,EXE3264@havemydata.nz,8633270,phone
EXM3268,Todd  ,1955-06-27,EXM3268@havemydata.nz,6633274,text
EXM3272,Nakisha  ,1920-01-15,EXM3272@havemydata.nz,8093278,text
EXF3276,Gena  ,1960-07-26,EXF3276@havemydata.nz,7623282,text
EXI3280,Angila  ,1982-10-07,EXI3280@havemydata.nz,7533286,phone
EXF3284,Santa  ,1925-12-29,EXF3284@havemydata.nz,8493290,phone
EXW3288,Naomi  ,1967-05-14,EXW3288@havemydata.nz,7213294,text
EXG3292,Ivana  ,1914-03-06,EXG3292@havemydata.nz,6893298,phone
EXN3296,Sondra  ,1941-08-03,EXN3296@havemydata.nz,7373302,text
EXL3300,Ivana  ,1929-09-25,EXL3300@havemydata.nz,8543306,text
EXJ3304,Naomi  ,1947-10-20,EXJ3304@havemydata.nz,8533310,text
EXE3308,Susann  ,1978-09-10,EXE3308@havemydata.nz,8663314,email
EXI3312,Daisey  ,1975-02-13,EXI3312@havemydata.nz,7683318,text
